"price","year","mileage","diesel","hybrid","mt","front.drive","rear.drive","engine.power","engine.capacity","sedan","hatchback","wagon","coupe","cabriolet","minivan","pickup"
"228",1035000,2011,74000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"229",1350000,2011,72750,0,0,0,0,0,272,3.5,1,0,0,0,0,0,0
"230",1175000,2010,104000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"231",1e+06,2010,110000,0,0,0,0,0,272,3.5,1,0,0,0,0,0,0
"232",1500000,2011,37000,0,0,0,0,1,231,3,1,0,0,0,0,0,0
"233",1400000,2011,60000,0,0,0,0,1,184,1.8,0,0,0,1,0,0,0
"234",1195000,2012,95000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"235",1495000,2013,75800,0,0,0,0,1,184,2,1,0,0,0,0,0,0
"236",1072000,2011,127000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"237",1250000,2010,84000,0,0,0,0,1,231,3,1,0,0,0,0,0,0
"238",1090000,2010,161000,0,0,0,0,0,272,3.5,1,0,0,0,0,0,0
"239",1270000,2011,80000,0,0,0,0,1,231,3,1,0,0,0,0,0,0
"240",1200000,2011,76671,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"241",1220000,2011,75000,0,0,0,0,1,231,3,1,0,0,0,0,0,0
"242",1150000,2011,88000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"243",1500000,2011,76000,0,0,0,0,0,306,3.5,1,0,0,0,0,0,0
"244",1050000,2011,90000,0,0,0,0,0,272,3.5,1,0,0,0,0,0,0
"245",1417000,2012,54800,0,0,0,0,0,252,3.5,1,0,0,0,0,0,0
"246",1350000,2012,67000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"247",1400000,2012,65000,0,0,0,0,0,252,3.5,1,0,0,0,0,0,0
"248",899000,2011,86000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"249",1045000,2011,78000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"250",1200000,2012,64000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"251",1050000,2010,130000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"252",1175000,2010,128000,0,0,0,0,0,272,3.5,1,0,0,0,0,0,0
"253",1270000,2011,73030,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"254",1290000,2011,65000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"255",1450000,2012,67500,0,0,0,0,1,204,1.8,0,0,0,1,0,0,0
"256",895000,2010,170000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"257",1200000,2011,56954,0,0,0,0,1,204,1.8,0,0,0,1,0,0,0
"258",1050000,2011,127000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"259",1200000,2011,150000,0,0,0,0,1,204,1.8,0,0,0,1,0,0,0
"260",1337000,2012,48000,0,0,0,0,1,184,1.8,0,0,0,1,0,0,0
"261",1200000,2012,41000,0,0,0,0,1,184,1.8,0,0,0,1,0,0,0
"262",1420000,2012,96000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"263",950000,2010,110000,0,0,0,0,1,204,1.8,0,0,0,1,0,0,0
"264",1320000,2012,90000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"265",1420000,2012,87500,0,0,0,0,0,252,3.5,1,0,0,0,0,0,0
"266",1350000,2012,77000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"267",1300000,2010,56000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"268",1150000,2010,50000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"269",1120000,2011,80000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"270",1250000,2011,93000,0,0,0,0,0,292,3.5,1,0,0,0,0,0,0
"271",1080000,2011,78000,0,0,0,0,0,272,3.5,1,0,0,0,0,0,0
"272",1140000,2011,83000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"273",1395000,2011,87000,0,0,0,0,0,272,3.5,1,0,0,0,0,0,0
"274",1200000,2011,112000,0,0,0,0,1,184,1.8,0,0,0,1,0,0,0
"275",1350000,2013,64000,0,0,0,0,1,184,1.8,0,0,0,1,0,0,0
"276",1290000,2012,69000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"277",1200000,2012,59000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"278",1070000,2010,54000,0,0,0,0,1,204,1.8,0,0,0,1,0,0,0
"279",950000,2010,135000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"280",1230000,2010,50000,0,0,0,0,1,204,1.8,0,0,0,1,0,0,0
"281",1400000,2012,69000,0,0,0,0,1,204,1.8,0,0,0,1,0,0,0
"282",1100000,2012,136400,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"283",1250000,2010,110000,0,0,0,0,0,272,3.5,1,0,0,0,0,0,0
"284",1e+06,2010,1e+05,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"285",990000,2010,110000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"286",1350000,2011,94000,1,0,0,0,0,204,2.1,0,0,1,0,0,0,0
"287",1180000,2011,58000,0,0,0,0,1,184,1.8,0,0,0,1,0,0,0
"288",1100000,2011,67000,0,0,0,0,1,184,1.8,0,0,0,1,0,0,0
"289",1040000,2011,120000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"290",1070000,2010,90000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"291",1120000,2011,102000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"292",1130000,2011,95000,0,0,0,0,0,272,3.5,1,0,0,0,0,0,0
"293",1075000,2011,112000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"294",1350000,2011,98000,0,0,0,0,0,272,3.5,1,0,0,0,0,0,0
"295",1e+06,2010,92567,0,0,0,0,1,184,1.8,0,0,0,1,0,0,0
"296",1300000,2011,75000,0,0,0,0,0,272,3.5,1,0,0,0,0,0,0
"297",1120000,2010,64000,0,0,0,0,1,204,1.8,0,0,0,1,0,0,0
"298",1150000,2010,62000,0,0,0,0,1,184,1.8,0,0,0,1,0,0,0
"299",1075000,2010,120000,0,0,0,0,0,272,3.5,1,0,0,0,0,0,0
"300",950000,2010,127000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"301",965000,2010,149170,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"302",940000,2010,123000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"303",1250000,2011,80000,0,0,0,0,1,184,1.8,0,0,0,1,0,0,0
"304",1400000,2011,113500,1,0,0,0,0,204,2.1,0,0,1,0,0,0,0
"305",1230000,2011,79000,0,0,0,0,1,204,1.8,0,0,0,1,0,0,0
"306",1250000,2010,101000,1,0,0,0,0,231,3,1,0,0,0,0,0,0
"307",1050000,2011,131000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"308",1190000,2011,120840,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"309",1200000,2011,130000,0,0,0,0,0,272,3.5,1,0,0,0,0,0,0
"310",1370000,2011,125000,0,0,0,0,0,272,3.5,1,0,0,0,0,0,0
"311",1230000,2011,121000,0,0,0,0,1,245,3,1,0,0,0,0,0,0
"312",850000,2010,169000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"313",1200000,2011,105200,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"314",1385000,2011,98000,0,0,0,0,0,272,3.5,1,0,0,0,0,0,0
"315",1100000,2011,96000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
